id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,maxima_educacion,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,tipo_vivienda,espacios_vivienda,acueducto,alcantarillado,energia_electrica,gas_natural,material_pisos,material_paredes,combustible_cocinar,nevera,lavadora,licuadora,tv,television_por_cable,calentador_agua,microondas,aire_acondicionado,computador,equipo_de_sonido,motocicleta,ventilador,dvd,carro,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,recoleccion_basuras,usufructo_vivienda,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes,nivel_sisben,internet,frec_problemas_vestir,frec_problemas_medicamentos,frec_problemas_vivienda,frec_problemas_asistencia_escolar,ha_sido_victima_robo
2015_bar_11,2.0,barranquilla,11.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,no,0.0,básica secundaria,0.0,2.0,no,casa,3.0,si,si,si,no,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",electricidad,no,si,no,si,si,no,no,no,no,no,no,si,no,no,nunca,igual,no,si,control sobre todas las decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,en arriendo o subarrendada,muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,2.0,no,nunca,nunca,nunca,nunca,no
2015_bar_12,1.0,barranquilla,12.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,no,2.0,técnica/tecnológica,0.0,4.0,no,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,no,si,si,si,raramente,mejor,no,no,control sobre todas las decisiones,algo probable,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 2 y 5 salarios mínimos,1.0,si,nunca,nunca,raramente,nunca,si
2015_bar_13,1.0,barranquilla,13.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,no,0.0,básica secundaria,0.0,2.0,no,casa,4.0,si,si,si,no,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,no,no,nunca,peor,si,si,control sobre todas las decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,no,nunca,a veces,nunca,nunca,si
2015_bar_14,1.0,barranquilla,14.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,no,0.0,básica primaria,0.0,1.0,no,casa,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,no,no,no,raramente,peor,si,si,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,1.0,no,raramente,raramente,raramente,raramente,no
2015_bar_15,1.0,barranquilla,15.0,4.0,0.0,4.0,1.0,1.0,2.0,0.0,2.0,no,2.0,básica secundaria,0.0,2.0,si,casa,5.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,no,si,si,si,no,nunca,mejor,si,si,control sobre todas las decisiones,poco probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,1.0,no,siempre,nunca,nunca,nunca,no
2015_bar_16,1.0,barranquilla,16.0,5.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,no,0.0,media,0.0,2.0,no,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,si,no,si,si,no,nunca,igual,si,si,control sobre la mayoría de decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,no,nunca,nunca,nunca,nunca,si
2015_bar_17,2.0,barranquilla,17.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,5.0,no,4.0,universitaria,0.0,6.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,no,no,si,si,no,nunca,mejor,si,si,control sobre todas las decisiones,muy poco probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,1.0,si,nunca,nunca,nunca,nunca,no
2015_bar_18,1.0,barranquilla,18.0,4.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,no,0.0,técnica/tecnológica,0.0,2.0,si,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,no,no,si,no,no,nunca,mejor,si,si,control sobre la mayoría de decisiones,poco probable,si,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,muy satisfecho,entre 1 y 2 salarios mínimos,1.0,no,nunca,nunca,nunca,nunca,no
2015_bar_19,1.0,barranquilla,19.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,no,1.0,media,0.0,3.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,si,si,si,no,nunca,mejor,si,si,control sobre la mayoría de decisiones,poco probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,1.0,si,nunca,nunca,nunca,nunca,no
2015_bar_20,1.0,barranquilla,20.0,5.0,4.0,1.0,0.0,0.0,1.0,2.0,2.0,no,1.0,básica secundaria,0.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,no,si,si,no,no,no,no,no,no,si,no,no,a veces,peor,no,no,control sobre la mayoría de decisiones,algo probable,si,entre 2 y 5 salarios mínimos,si,en arriendo o subarrendada,no muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,3.0,no,a menudo,raramente,a veces,raramente,si
2015_bar_21,1.0,barranquilla,21.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,no,0.0,básica primaria,0.0,1.0,no,casa,2.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,no,no,nunca,igual,no,si,control sobre todas las decisiones,muy probable,si,menos de 1 salario mínimo,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos,2.0,no,a menudo,a menudo,nunca,raramente,no
2015_bar_22,1.0,barranquilla,22.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,no,1.0,básica secundaria,0.0,2.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,si,si,no,si,no,no,raramente,mejor,no,no,control sobre la mayoría de decisiones,algo probable,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,2.0,si,a veces,a veces,nunca,raramente,no
2015_bar_23,1.0,barranquilla,23.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0,no,1.0,básica secundaria,0.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,si,si,si,no,no,no,no,no,si,si,si,no,raramente,mejor,no,no,control sobre todas las decisiones,muy probable,si,entre 1 y 2 salarios mínimos,si,en arriendo o subarrendada,nada feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,no,a veces,a veces,siempre,a veces,si
2015_bar_24,1.0,barranquilla,24.0,8.0,4.0,4.0,1.0,1.0,3.0,2.0,3.0,si,2.0,técnica/tecnológica,0.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,si,no,si,no,no,a menudo,mejor,no,si,control sobre la mayoría de decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,a veces,nunca,a veces,raramente,no
2015_bar_25,1.0,barranquilla,25.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,si,0.0,básica primaria,0.0,2.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,no,si,si,no,no,no,no,no,no,si,no,no,a veces,igual,no,no,control sobre algunas decisiones,muy poco probable,si,entre 1 y 2 salarios mínimos,si,posesión sin titulo o propiedad colectiva,no muy feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,a menudo,raramente,nunca,nunca,no
2015_bar_26,1.0,barranquilla,26.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,no,2.0,técnica/tecnológica,0.0,2.0,si,casa,4.0,si,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,si,no,si,no,si,no,no,raramente,mejor,no,si,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,3.0,no,a veces,a veces,raramente,a menudo,no
2015_bar_27,1.0,barranquilla,27.0,5.0,2.0,3.0,1.0,1.0,2.0,0.0,3.0,no,2.0,básica secundaria,0.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,no,no,nunca,igual,no,no,control sobre algunas decisiones,algo probable,si,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,muy satisfecho,entre 2 y 5 salarios mínimos,3.0,no,a veces,raramente,nunca,raramente,no
2015_bar_28,1.0,barranquilla,28.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,no,1.0,técnica/tecnológica,0.0,1.0,no,apartamento,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,si,no,no,no,no,si,si,no,si,no,no,a veces,peor,no,si,control sobre algunas decisiones,algo probable,no,menos de 1 salario mínimo,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 2 y 5 salarios mínimos,3.0,si,a veces,raramente,raramente,raramente,si
2015_bar_29,1.0,barranquilla,29.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,si,2.0,básica secundaria,0.0,1.0,no,apartamento,2.0,si,si,si,si,"tierra, arena","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,si,no,no,no,no,si,no,no,a veces,peor,no,no,control sobre la mayoría de decisiones,muy probable,no,menos de 1 salario mínimo,si,en arriendo o subarrendada,bastante feliz,muy satisfecho,entre 1 y 2 salarios mínimos,1.0,no,a menudo,raramente,a veces,raramente,no
2015_bar_30,1.0,barranquilla,30.0,4.0,1.0,3.0,1.0,1.0,2.0,0.0,2.0,no,1.0,básica secundaria,0.0,1.0,no,apartamento,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,no,si,si,no,no,no,no,si,si,si,si,no,raramente,igual,no,si,control sobre la mayoría de decisiones,algo probable,si,entre 1 y 2 salarios mínimos,si,en arriendo o subarrendada,bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,raramente,raramente,a veces,raramente,no
2015_bar_31,1.0,barranquilla,31.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,no,1.0,básica secundaria,0.0,2.0,no,casa,5.0,si,no,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,si,si,si,no,si,si,no,raramente,mejor,si,si,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,posesión sin titulo o propiedad colectiva,muy feliz,satisfecho,entre 1 y 2 salarios mínimos,2.0,si,a veces,nunca,nunca,raramente,no
2015_bar_32,1.0,barranquilla,32.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,no,0.0,básica secundaria,0.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","tapia pisada, adobe",gas natural domiciliario,no,no,si,si,no,no,no,no,no,si,no,si,no,no,nunca,mejor,si,no,control sobre algunas decisiones,muy probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,2.0,no,a veces,raramente,raramente,a veces,no
2015_bar_33,1.0,barranquilla,33.0,5.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,no,3.0,básica secundaria,0.0,1.0,si,apartamento,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,si,si,no,si,no,si,no,no,a menudo,mejor,no,si,control sobre la mayoría de decisiones,muy probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,2.0,si,a veces,a veces,nunca,raramente,no
2015_bar_34,1.0,barranquilla,34.0,4.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,no,2.0,básica secundaria,0.0,1.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,no,no,a veces,peor,no,no,control sobre algunas decisiones,muy probable,si,menos de 1 salario mínimo,si,"propia, totalmente pagada",no muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,no,a veces,a veces,nunca,raramente,si
2015_bar_35,2.0,barranquilla,35.0,7.0,3.0,4.0,0.0,1.0,2.0,0.0,5.0,si,2.0,técnica/tecnológica,0.0,2.0,no,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,si,si,si,no,si,no,no,raramente,igual,no,no,control sobre la mayoría de decisiones,muy probable,si,entre 1 y 2 salarios mínimos,si,"propia, parcialmente pagada",no muy feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,si,a veces,a veces,raramente,nunca,si
2015_bar_36,2.0,barranquilla,36.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,no,1.0,universitaria,0.0,2.0,si,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,si,si,si,no,si,si,no,nunca,peor,si,si,control sobre la mayoría de decisiones,muy probable,no,más de 5 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,más de 5 salarios mínimos,1.0,si,a veces,raramente,nunca,raramente,no
2015_bar_37,2.0,barranquilla,37.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,no,2.0,universitaria,0.0,0.0,no,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,no,si,si,no,raramente,igual,no,si,control sobre todas las decisiones,algo probable,no,entre 2 y 5 salarios mínimos,si,en arriendo o subarrendada,bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,3.0,si,a veces,raramente,raramente,nunca,no
2015_bar_38,3.0,barranquilla,38.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,no,0.0,técnica/tecnológica,0.0,1.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,no,no,no,si,no,nunca,igual,si,no,control sobre la mayoría de decisiones,poco probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,2.0,no,raramente,raramente,nunca,nunca,si
2015_bar_39,3.0,barranquilla,39.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,no,0.0,media,0.0,0.0,no,cuarto(s) en arriendo,5.0,si,si,si,si,"madera burda, tabla, tablón, otro vegetal","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,no,si,no,no,no,no,no,no,no,si,no,no,a veces,igual,no,no,control sobre la mayoría de decisiones,algo probable,no,menos de 1 salario mínimo,si,en arriendo o subarrendada,no muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,3.0,no,a veces,a veces,a veces,a veces,no
2015_bar_40,3.0,barranquilla,40.0,4.0,0.0,4.0,1.0,1.0,0.0,1.0,3.0,si,1.0,básica secundaria,0.0,2.0,no,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,no,si,si,si,no,no,no,si,no,no,si,no,no,nunca,mejor,no,si,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,3.0,si,raramente,raramente,nunca,raramente,no
2015_bar_41,3.0,barranquilla,41.0,4.0,3.0,1.0,1.0,1.0,2.0,0.0,2.0,no,2.0,básica secundaria,0.0,1.0,no,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,si,no,si,si,no,si,si,no,raramente,mejor,si,si,control sobre la mayoría de decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,en arriendo o subarrendada,muy feliz,satisfecho,entre 1 y 2 salarios mínimos,3.0,si,a veces,a veces,raramente,nunca,si
2015_bar_42,3.0,barranquilla,42.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,4.0,no,2.0,universitaria,0.0,1.0,si,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,si,si,si,no,si,si,si,nunca,igual,si,si,control sobre la mayoría de decisiones,algo probable,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",muy feliz,satisfecho,entre 2 y 5 salarios mínimos,3.0,si,raramente,raramente,nunca,nunca,no
2015_bar_43,3.0,barranquilla,43.0,4.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,no,2.0,media,0.0,1.0,no,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,si,si,no,si,no,no,nunca,igual,si,si,control sobre la mayoría de decisiones,algo probable,no,menos de 1 salario mínimo,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,3.0,si,raramente,raramente,nunca,nunca,no
