id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,maxima_educacion,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,tipo_vivienda,espacios_vivienda,acueducto,alcantarillado,energia_electrica,gas_natural,material_pisos,material_paredes,combustible_cocinar,nevera,lavadora,licuadora,tv,television_por_cable,calentador_agua,microondas,aire_acondicionado,computador,equipo_de_sonido,motocicleta,ventilador,dvd,carro,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,recoleccion_basuras,usufructo_vivienda,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes,nivel_sisben,internet,frec_problemas_vestir,frec_problemas_medicamentos,frec_problemas_vivienda,frec_problemas_asistencia_escolar
2016_bar_11,2.0,barranquilla,11.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,no,0.0,media,0.0,2.0,si,apartamento,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,si,si,si,no,raramente,mejor,no,si,control sobre algunas decisiones,si,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,3.0,no,raramente,raramente,raramente,raramente
2016_bar_12,1.0,barranquilla,12.0,6.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,no,3.0,básica secundaria,0.0,1.0,no,apartamento,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,no,no,si,no,no,raramente,mejor,no,no,control sobre algunas decisiones,si,menos de 1 salario mínimo,si,en arriendo o subarriendo,bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,si,raramente,raramente,raramente,raramente
2016_bar_13,2.0,barranquilla,13.0,5.0,2.0,3.0,0.0,0.0,2.0,1.0,1.0,no,3.0,universitaria,0.0,0.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,no,no,raramente,igual,no,no,control sobre todas las decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",no muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,1.0,si,raramente,raramente,raramente,raramente
2016_bar_14,2.0,barranquilla,14.0,5.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,no,0.0,media,0.0,3.0,si,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,no,si,si,no,nunca,igual,si,si,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,si,nunca,nunca,nunca,nunca
2016_bar_15,1.0,barranquilla,15.0,7.0,3.0,4.0,1.0,1.0,3.0,0.0,4.0,no,3.0,básica secundaria,0.0,2.0,si,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,no,no,si,no,no,raramente,mejor,no,no,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,raramente,raramente,raramente,raramente
2016_bar_16,1.0,barranquilla,16.0,3.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,no,0.0,media,0.0,1.0,si,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,si,no,si,no,si,si,no,nunca,peor,no,no,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,nunca,nunca,nunca,nunca
2016_bar_17,1.0,barranquilla,17.0,5.0,2.0,3.0,1.0,1.0,3.0,0.0,2.0,no,3.0,básica secundaria,0.0,1.0,si,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,no,no,no,si,no,no,raramente,igual,no,no,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,raramente,raramente,raramente,raramente
2016_bar_18,1.0,barranquilla,18.0,5.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0,no,2.0,media,0.0,1.0,si,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,si,si,si,no,raramente,peor,no,si,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,insatisfecho,entre 2 y 5 salarios mínimos,3.0,si,nunca,nunca,nunca,nunca
2016_bar_19,1.0,barranquilla,19.0,3.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,no,1.0,básica secundaria,0.0,0.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",electricidad,si,si,si,si,si,no,no,si,no,si,no,si,no,no,nunca,peor,no,no,control sobre algunas decisiones,si,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,no,nunca,nunca,nunca,nunca
2016_bar_20,1.0,barranquilla,20.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,3.0,no,0.0,media,0.0,3.0,si,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,si,si,si,no,nunca,igual,no,no,control sobre la mayoría de decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,si,nunca,nunca,nunca,nunca
2016_bar_21,1.0,barranquilla,21.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,no,0.0,media,0.0,2.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",electricidad,si,si,si,si,si,no,no,no,no,si,no,no,no,no,raramente,igual,no,no,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,raramente,raramente,raramente,raramente
2016_bar_22,1.0,barranquilla,22.0,8.0,4.0,4.0,1.0,1.0,2.0,0.0,6.0,no,3.0,básica secundaria,0.0,1.0,si,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,no,no,si,no,no,raramente,igual,si,si,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,si,raramente,nunca,nunca,nunca
2016_bar_23,1.0,barranquilla,23.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,no,0.0,básica secundaria,0.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",electricidad,si,si,si,si,no,no,no,no,no,si,no,si,si,no,nunca,mejor,no,si,control sobre todas las decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,más de 5 salarios mínimos,2.0,no,nunca,raramente,raramente,raramente
2016_bar_24,1.0,barranquilla,24.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,4.0,no,0.0,media,0.0,2.0,si,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,no,si,si,no,raramente,igual,no,no,control sobre la mayoría de decisiones,no,menos de 1 salario mínimo,si,"propia, totalmente pagada",muy feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,no,raramente,raramente,raramente,raramente
2016_bar_25,1.0,barranquilla,25.0,5.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0,no,1.0,media,0.0,1.0,si,apartamento,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,no,no,si,no,no,raramente,igual,no,no,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, parcialmente pagada",no muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,1.0,no,a veces,a veces,a veces,a veces
2016_bar_26,1.0,barranquilla,26.0,5.0,3.0,2.0,1.0,0.0,2.0,0.0,3.0,no,0.0,media,0.0,3.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,si,si,no,si,si,no,nunca,igual,no,no,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,insatisfecho,entre 2 y 5 salarios mínimos,1.0,si,nunca,nunca,nunca,nunca
2016_bar_27,1.0,barranquilla,27.0,5.0,2.0,3.0,0.0,1.0,3.0,0.0,2.0,no,3.0,básica secundaria,0.0,1.0,si,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,si,no,a veces,igual,no,no,control sobre algunas decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",no muy feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,no,a veces,a veces,a veces,a veces
2016_bar_28,1.0,barranquilla,28.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,no,1.0,media,0.0,3.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,si,si,no,no,raramente,igual,no,no,control sobre muy pocas decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",no muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,no,raramente,a veces,raramente,raramente
2016_bar_29,1.0,barranquilla,29.0,5.0,2.0,3.0,0.0,0.0,3.0,0.0,2.0,no,0.0,media,0.0,2.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,si,no,a veces,igual,no,no,control sobre algunas decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",no muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,no,a veces,a veces,a veces,nunca
2016_bar_30,1.0,barranquilla,30.0,5.0,3.0,2.0,0.0,0.0,1.0,0.0,4.0,no,0.0,media,0.0,4.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,no,si,si,no,raramente,igual,no,no,control sobre la mayoría de decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",no muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,si,raramente,a veces,a veces,raramente
2016_bar_31,1.0,barranquilla,31.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,no,1.0,básica secundaria,0.0,3.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","madera burda, tabla, tablón, bahareque",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,no,si,si,no,raramente,igual,no,no,control sobre algunas decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",no muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,1.0,no,a veces,a veces,nunca,nunca
2016_bar_32,1.0,barranquilla,32.0,5.0,2.0,3.0,1.0,1.0,2.0,0.0,3.0,no,2.0,media,0.0,2.0,si,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,si,no,no,si,no,si,si,no,nunca,igual,si,no,control sobre la mayoría de decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,nunca,nunca,nunca,nunca
2016_bar_33,1.0,barranquilla,33.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,no,0.0,básica secundaria,0.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,no,no,raramente,igual,no,no,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,en arriendo o subarriendo,no muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,1.0,no,raramente,raramente,raramente,a veces
2016_bar_34,1.0,barranquilla,34.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,no,0.0,media,0.0,2.0,si,apartamento,3.0,si,si,si,si,"cemento, gravilla","madera burda, tabla, tablón, bahareque",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,no,no,nunca,igual,no,no,control sobre algunas decisiones,no,entre 1 y 2 salarios mínimos,si,en arriendo o subarriendo,bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,nunca,nunca,nunca,nunca
2016_bar_35,1.0,barranquilla,35.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,no,0.0,básica secundaria,0.0,1.0,si,casa,5.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,si,no,a menudo,igual,no,si,control sobre algunas decisiones,no,más de 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,más de 5 salarios mínimos,3.0,no,a veces,a veces,a veces,a veces
2016_bar_36,1.0,barranquilla,36.0,7.0,3.0,4.0,1.0,1.0,2.0,0.0,5.0,no,3.0,técnica/tecnológica,0.0,3.0,si,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","madera burda, tabla, tablón, bahareque",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,si,si,no,no,a veces,mejor,no,si,control sobre la mayoría de decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",muy feliz,satisfecho,más de 5 salarios mínimos,1.0,no,a veces,a veces,a veces,a veces
2016_bar_37,1.0,barranquilla,37.0,8.0,5.0,3.0,1.0,1.0,3.0,0.0,5.0,si,3.0,universitaria,0.0,3.0,no,casa,5.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,no,si,no,no,a veces,mejor,si,si,control sobre algunas decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,más de 5 salarios mínimos,2.0,si,a veces,a veces,a veces,a veces
2016_bar_38,1.0,barranquilla,38.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,2.0,si,1.0,técnica/tecnológica,0.0,1.0,no,apartamento,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,si,no,no,no,si,si,no,nunca,igual,no,si,control sobre muy pocas decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,3.0,si,a veces,nunca,a veces,nunca
2016_bar_39,1.0,barranquilla,39.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,si,0.0,media,0.0,2.0,si,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,no,no,si,no,no,a veces,igual,no,si,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",no muy feliz,satisfecho,entre 2 y 5 salarios mínimos,2.0,no,a veces,a veces,a veces,nunca
2016_bar_40,1.0,barranquilla,40.0,5.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,si,1.0,básica secundaria,0.0,2.0,si,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,no,no,no,no,no,a veces,igual,no,si,control sobre muy pocas decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,más de 5 salarios mínimos,1.0,no,a menudo,raramente,a veces,a veces
2016_bar_41,1.0,barranquilla,41.0,8.0,6.0,2.0,1.0,0.0,4.0,0.0,4.0,si,3.0,universitaria,0.0,3.0,no,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,si,no,a veces,mejor,si,no,control sobre algunas decisiones,no,más de 5 salarios mínimos,si,"propia, totalmente pagada",muy feliz,insatisfecho,más de 5 salarios mínimos,2.0,no,a veces,raramente,a veces,a veces
2016_bar_42,1.0,barranquilla,42.0,5.0,4.0,1.0,1.0,1.0,3.0,0.0,2.0,no,3.0,básica secundaria,0.0,2.0,si,casa,5.0,si,si,si,si,"cemento, gravilla","madera burda, tabla, tablón, bahareque",gas natural domiciliario,si,si,si,si,si,no,no,no,si,si,no,si,no,no,a veces,mejor,no,si,control sobre la mayoría de decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,más de 5 salarios mínimos,2.0,si,a veces,a veces,a veces,a veces
2016_bar_43,1.0,barranquilla,43.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,no,0.0,universitaria,0.0,3.0,si,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,no,no,raramente,mejor,si,si,control sobre la mayoría de decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,más de 5 salarios mínimos,1.0,no,raramente,raramente,raramente,raramente
2016_bar_44,1.0,barranquilla,44.0,8.0,1.0,7.0,1.0,1.0,3.0,0.0,5.0,si,3.0,básica secundaria,0.0,5.0,no,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,no,si,si,no,a veces,igual,no,si,control sobre algunas decisiones,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,más de 5 salarios mínimos,3.0,no,a menudo,raramente,a veces,nunca
2016_bar_45,2.0,barranquilla,45.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,no,0.0,media,0.0,1.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,no,si,no,no,nunca,igual,si,si,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos,1.0,no,nunca,nunca,nunca,nunca
2016_bar_46,2.0,barranquilla,46.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,no,0.0,media,0.0,1.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,si,no,si,si,si,no,no,nunca,peor,no,no,control sobre la mayoría de decisiones,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,si,nunca,nunca,nunca,nunca
