id_vivienda,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,maxima_educacion,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,tipo_vivienda,espacios_vivienda,acueducto,alcantarillado,energia_electrica,gas_natural,material_pisos,material_paredes,combustible_cocinar,nevera,lavadora,licuadora,tv,television_por_cable,calentador_agua,microondas,aire_acondicionado,computador,equipo_de_sonido,motocicleta,ventilador,dvd,carro,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,recoleccion_basuras,usufructo_vivienda,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes
2014_bar_217542,barranquilla,217542.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,no,0.0,básica secundaria,0.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,si,si,si,no,raramente,igual,no,control sobre todas las decisiones,poco probable,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,más de 5 salarios mínimos
2014_bar_217556,barranquilla,217556.0,6.0,2.0,4.0,1.0,1.0,2.0,0.0,4.0,no,2.0,básica secundaria,0.0,4.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,si,no,a veces,igual,no,control sobre la mayoría de decisiones,algo probable,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,más de 5 salarios mínimos
2014_bar_217598,barranquilla,217598.0,9.0,4.0,5.0,1.0,1.0,3.0,0.0,6.0,no,5.0,universitaria,0.0,3.0,no,apartamento,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,si,no,a veces,igual,no,ningún control,algo probable,no,entre 2 y 5 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_1573102,barranquilla,1573102.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,no,2.0,universitaria,0.0,2.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,si,no,si,si,no,raramente,igual,no,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos
2014_bar_217552,barranquilla,217552.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,si,0.0,universitaria,0.0,3.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,si,no,no,si,si,no,nunca,mejor,no,ningún control,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",muy feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_42457,barranquilla,42457.0,5.0,2.0,3.0,1.0,1.0,0.0,1.0,4.0,si,1.0,universitaria,1.0,3.0,si,casa,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,si,no,no,si,no,si,no,no,raramente,igual,no,control sobre muy pocas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_31927,barranquilla,31927.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,no,0.0,media,0.0,1.0,si,casa,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,no,no,raramente,peor,no,control sobre muy pocas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,en arriendo o subarriendo,bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_62688,barranquilla,62688.0,7.0,4.0,3.0,0.0,1.0,2.0,0.0,5.0,no,4.0,universitaria,1.0,3.0,no,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,no,no,si,no,si,si,no,raramente,mejor,si,control sobre algunas decisiones,poco probable,si,entre 2 y 5 salarios mínimos,no,otra,no muy feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_619156,barranquilla,619156.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,no,1.0,básica secundaria,1.0,1.0,no,apartamento,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,si,no,no,si,no,no,raramente,igual,no,control sobre todas las decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,en arriendo o subarriendo,bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_35419,barranquilla,35419.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,no,2.0,universitaria,0.0,2.0,si,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,si,no,no,no,si,no,no,si,si,no,raramente,mejor,si,control sobre la mayoría de decisiones,algo probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,muy satisfecho,entre 2 y 5 salarios mínimos
2014_bar_55127,barranquilla,55127.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,si,1.0,básica secundaria,2.0,1.0,no,cuarto(s),2.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,no,si,si,si,si,no,no,no,no,no,no,si,no,no,a menudo,igual,no,control sobre la mayoría de decisiones,poco probable,si,menos de 1 salario mínimo,no,"propia, parcialmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos
2014_bar_64777,barranquilla,64777.0,5.0,3.0,2.0,1.0,1.0,0.0,1.0,4.0,no,2.0,universitaria,1.0,2.0,no,casa,5.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,no,si,no,no,si,no,no,nunca,igual,si,control sobre muy pocas decisiones,muy poco probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos
2014_bar_51138,barranquilla,51138.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,no,2.0,universitaria,0.0,3.0,si,apartamento,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,no,no,si,no,no,raramente,igual,no,control sobre algunas decisiones,algo probable,no,entre 2 y 5 salarios mínimos,no,en arriendo o subarriendo,bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_25032,barranquilla,25032.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,3.0,no,2.0,básica secundaria,1.0,2.0,no,casa,3.0,si,si,si,si,"tierra, arena","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,no,no,si,si,no,raramente,igual,si,control sobre todas las decisiones,poco probable,no,menos de 1 salario mínimo,no,en arriendo o subarriendo,no muy feliz,insatisfecho,menos de 1 salario mínimo
2014_bar_35115,barranquilla,35115.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,no,1.0,básica secundaria,0.0,2.0,si,casa,3.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,no,si,no,no,no,no,no,no,si,si,no,raramente,igual,no,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",muy feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_647156,barranquilla,647156.0,7.0,3.0,4.0,1.0,1.0,2.0,0.0,5.0,no,4.0,universitaria,1.0,3.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,si,si,si,si,no,no,no,no,nunca,mejor,si,control sobre algunas decisiones,algo probable,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_45003,barranquilla,45003.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,no,2.0,universitaria,0.0,2.0,si,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,si,no,no,no,no,si,si,no,raramente,igual,si,control sobre algunas decisiones,muy probable,no,entre 2 y 5 salarios mínimos,no,"propia, totalmente pagada",muy feliz,satisfecho,entre 1 y 2 salarios mínimos
2014_bar_55105,barranquilla,55105.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,no,0.0,universitaria,0.0,2.0,si,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,no,no,a veces,mejor,si,control sobre algunas decisiones,algo probable,no,entre 2 y 5 salarios mínimos,si,otra,bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_55155,barranquilla,55155.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,no,1.0,media,0.0,0.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,si,no,si,no,si,si,no,nunca,mejor,si,control sobre la mayoría de decisiones,algo probable,no,entre 2 y 5 salarios mínimos,si,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_51202,barranquilla,51202.0,4.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,no,2.0,universitaria,0.0,1.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,si,no,a veces,igual,si,control sobre la mayoría de decisiones,poco probable,no,entre 2 y 5 salarios mínimos,no,en arriendo o subarriendo,bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_44463,barranquilla,44463.0,4.0,1.0,3.0,1.0,1.0,0.0,2.0,2.0,no,0.0,media,0.0,3.0,si,casa,5.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,si,no,no,no,no,si,no,si,no,no,nunca,peor,si,control sobre todas las decisiones,poco probable,si,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 2 y 5 salarios mínimos
2014_bar_45473,barranquilla,45473.0,5.0,4.0,1.0,1.0,1.0,2.0,0.0,3.0,no,2.0,básica secundaria,0.0,3.0,si,casa,4.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,si,si,si,si,no,si,si,no,si,nunca,igual,si,control sobre todas las decisiones,muy probable,no,entre 1 y 2 salarios mínimos,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos
2014_bar_45599,barranquilla,45599.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,no,0.0,universitaria,0.0,1.0,si,apartamento,2.0,si,si,si,si,"baldosín, ladrillo, vinisol, ladrillo, otros sintéticos","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,no,si,si,no,no,no,no,no,no,si,no,no,nunca,igual,si,control sobre todas las decisiones,poco probable,no,menos de 1 salario mínimo,si,"propia, totalmente pagada",muy feliz,muy satisfecho,entre 1 y 2 salarios mínimos
2014_bar_94769,barranquilla,94769.0,4.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,no,0.0,básica secundaria,1.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,no,no,raramente,peor,no,control sobre la mayoría de decisiones,muy poco probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_124826,barranquilla,124826.0,5.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,no,3.0,básica secundaria,0.0,1.0,no,apartamento,2.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,no,no,si,no,no,a veces,igual,no,control sobre muy pocas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 1 y 2 salarios mínimos
2014_bar_124611,barranquilla,124611.0,8.0,3.0,5.0,1.0,0.0,3.0,0.0,5.0,no,0.0,básica secundaria,0.0,4.0,no,casa,5.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,si,si,si,no,no,no,no,no,si,no,si,no,no,raramente,igual,no,control sobre muy pocas decisiones,poco probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,insatisfecho,entre 1 y 2 salarios mínimos
2014_bar_104739,barranquilla,104739.0,9.0,5.0,4.0,1.0,1.0,4.0,0.0,5.0,no,0.0,básica secundaria,1.0,3.0,no,casa,4.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,si,no,no,no,no,no,si,no,si,no,no,a veces,igual,no,control sobre muy pocas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",bastante feliz,satisfecho,entre 2 y 5 salarios mínimos
2014_bar_7530,barranquilla,7530.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,si,1.0,básica secundaria,1.0,1.0,no,cuarto(s),2.0,no,si,si,si,"tierra, arena","madera burda, tabla, tablón, bahareque",electricidad,no,no,si,si,no,no,no,no,no,no,no,si,no,no,siempre,peor,no,ningún control,poco probable,si,menos de 1 salario mínimo,no,en arriendo o subarriendo,no muy feliz,insatisfecho,entre 1 y 2 salarios mínimos
2014_bar_165134,barranquilla,165134.0,3.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,no,0.0,universitaria,0.0,2.0,no,casa,3.0,si,si,si,si,"cemento, gravilla","ladrillo, bloque, material prefabricado, piedra, madera pulida",gas natural domiciliario,si,no,si,no,no,no,no,no,no,no,no,si,no,no,raramente,igual,si,control sobre algunas decisiones,algo probable,no,entre 1 y 2 salarios mínimos,no,"propia, totalmente pagada",muy feliz,satisfecho,entre 1 y 2 salarios mínimos
